TILEID,PROGRAM,SURVEY,PETALID,H,N_GAL,N_STAR,N_QSO,N_GOOD_Z
1922,dark,main,9,0.9890260468040137,248,24,97,369
20100,bright,main,0,0.991076980183718,303,115,1,419
20100,bright,main,1,0.992966587008175,276,112,6,394
20100,bright,main,2,0.9944990957481087,332,86,4,422
20100,bright,main,3,0.9935964275869567,319,68,4,391
20100,bright,main,4,0.9932608177605287,305,86,5,396
20100,bright,main,5,0.992760422884097,332,66,3,401
20100,bright,main,6,0.9893456315206443,312,53,3,368
20100,bright,main,7,0.9931958369002937,292,66,3,361
20100,bright,main,8,0.9870473774500037,309,98,6,413
20100,bright,main,9,0.9870473774500037,309,98,6,413
20001,bright,main,0,0.9950958901854545,377,55,2,434
20001,bright,main,1,0.991441388526433,327,72,1,400
20001,bright,main,2,0.9957028349113793,340,90,4,434
20001,bright,main,3,0.9923279462600424,322,74,4,400
20001,bright,main,4,0.995016420284844,306,90,4,400
20001,bright,main,5,0.9894955609672152,310,92,3,405
20001,bright,main,6,0.9861593303059456,301,59,1,361
20001,bright,main,7,0.989199343589589,276,88,5,369
20001,bright,main,8,0.9965679271350043,337,83,1,421
20001,bright,main,9,0.9965679271350043,337,83,1,421
20392,bright,main,0,0.9932016081362073,328,98,8,434
20392,bright,main,1,0.9942233661595928,297,101,4,402
20392,bright,main,2,0.9922172596742556,316,109,5,430
20392,bright,main,3,0.9928266525408299,264,110,4,378
20392,bright,main,4,0.9930637454278799,287,80,6,373
20392,bright,main,5,0.9898841707763454,323,84,3,410
20392,bright,main,6,0.9971689709459707,283,81,4,368
20392,bright,main,7,0.9973206326548122,292,75,4,371
20392,bright,main,8,0.991958966416512,322,104,3,429
20392,bright,main,9,0.991958966416512,322,104,3,429
1126,dark,main,0,0.9884843708813281,271,20,96,387
1126,dark,main,1,0.9890148054840783,241,19,88,348
1126,dark,main,2,0.994807139266842,269,18,91,378
1126,dark,main,3,0.9899460400227229,255,12,97,364
1126,dark,main,4,0.9955846049113214,259,19,88,366
1126,dark,main,5,0.9930971335294633,247,23,91,361
1126,dark,main,6,0.9870835107674777,226,21,74,321
1126,dark,main,7,0.9890193453738365,238,17,73,328
1126,dark,main,8,0.9895999311573247,262,16,88,366
1126,dark,main,9,0.9895999311573247,262,16,88,366
1890,dark,main,0,0.9845103950833421,249,34,78,361
1890,dark,main,1,0.9792915174324722,251,29,73,353
1890,dark,main,2,0.9889580938034895,262,23,75,360
1890,dark,main,3,0.990731686634528,255,28,78,361
1890,dark,main,4,0.9893215885563545,226,43,78,347
1890,dark,main,5,0.9967934325436381,249,27,84,360
1890,dark,main,6,0.9874854664091073,234,24,63,321
1890,dark,main,7,0.9886668354628814,186,50,71,307
1890,dark,main,8,0.9912134515884721,230,56,81,367
1890,dark,main,9,0.9912134515884721,230,56,81,367
20386,bright,main,0,0.9958495868939956,336,96,4,436
20386,bright,main,1,0.9818982823100766,273,130,2,405
20386,bright,main,2,0.9894520183265609,301,123,9,433
