TILEID,PROGRAM,SURVEY,PETALID,H,N_GAL,N_STAR,N_QSO,N_GOOD_Z
20925,bright,main,0,0.9549116749004415,336,106,6,448
20925,bright,main,1,0.9560247351238157,293,101,3,397
20925,bright,main,2,0.9664530550388968,337,96,2,435
20925,bright,main,3,0.9229222059997739,156,50,3,209
20925,bright,main,4,0.9440979946969126,309,106,4,419
20925,bright,main,5,0.9557103403728433,312,99,8,419
20925,bright,main,6,0.9438727877271126,297,69,6,372
20925,bright,main,7,0.953859468648011,287,80,4,371
20925,bright,main,8,0.9468838452987088,320,105,1,426
20925,bright,main,9,0.982254656714205,312,115,4,431
20897,bright,main,0,0.9542102371953989,359,83,4,446
20897,bright,main,1,0.9493560473556291,291,115,1,407
20897,bright,main,2,0.9440009169208385,311,129,0,440
20897,bright,main,3,0.9720341452085224,303,88,5,396
20897,bright,main,4,0.9491600914209045,302,113,6,421
20897,bright,main,5,0.9424451580812888,312,100,7,419
20897,bright,main,6,0.9744402298712225,256,110,6,372
20897,bright,main,7,0.9624411890848328,270,98,7,375
20897,bright,main,8,0.9747388402840473,336,91,5,432
20897,bright,main,9,0.9487457558543755,344,91,2,437
20388,bright,main,0,0.9516476220001878,319,123,4,446
20388,bright,main,1,0.9358401527837837,260,140,4,404
20388,bright,main,2,0.976639524352563,304,130,8,442
20388,bright,main,3,0.9592164721426379,307,91,5,403
20388,bright,main,4,0.9679097160526243,298,113,5,416
20388,bright,main,5,0.9760308250526344,326,90,2,418
20388,bright,main,6,0.9555297643305329,285,87,2,374
20388,bright,main,7,0.9594078033686612,286,87,5,378
20388,bright,main,8,0.9727626384797363,352,73,6,431
20388,bright,main,9,0.9573744762353604,356,74,4,434
20069,bright,main,0,0.9622377880961362,323,122,3,448
20069,bright,main,1,0.9780005296187722,292,103,3,398
20069,bright,main,2,0.9554543770800804,327,105,4,436
20069,bright,main,3,0.9668292500195538,301,95,3,399
20069,bright,main,4,0.943886527826504,323,91,2,416
20069,bright,main,5,0.945229503685056,331,84,0,415
20069,bright,main,6,0.9558143852441501,295,70,6,371
20069,bright,main,7,0.9500066070443426,304,63,5,372
20069,bright,main,8,0.9806757805397732,369,62,3,434
20069,bright,main,9,0.969492284556806,327,104,4,435
20512,bright,main,0,0.9600255975498927,369,73,5,447
20512,bright,main,1,0.9540331922884341,337,62,5,404
20512,bright,main,2,0.974762848476778,356,80,4,440
20512,bright,main,3,0.9670565374528323,324,72,6,402
20512,bright,main,4,0.9621443565979747,330,86,3,419
20512,bright,main,5,0.9770288184619422,330,84,2,416
20512,bright,main,6,0.9547231661097355,296,71,2,369
20512,bright,main,7,0.9646272090780451,286,85,5,376
20512,bright,main,8,0.9614675338823668,326,95,7,428
20512,bright,main,9,0.985206680174725,356,75,3,434
20248,bright,main,0,0.9690628490667917,374,71,2,447
20248,bright,main,1,0.9587536894640893,334,63,1,398
20248,bright,main,2,0.9496242415232145,356,77,3,436
20248,bright,main,3,0.9379691280840582,325,74,2,401
20248,bright,main,4,0.9578925799072336,312,95,3,410
20248,bright,main,5,0.9591738303942222,330,88,1,419
20248,bright,main,6,0.9688189662177017,295,74,2,371
20248,bright,main,7,0.9819579021299112,306,66,1,373
20248,bright,main,8,0.9694307980710336,339,84,7,430
20248,bright,main,9,0.9679532171861114,363,67,2,432
20219,bright,main,0,0.9742444977336906,360,87,0,447
20219,bright,main,1,0.954943899230446,332,70,2,404
20219,bright,main,2,0.9738708924163549,344,93,0,437
20219,bright,main,3,0.9700408872725543,327,78,3,408
20219,bright,main,4,0.9590672985629792,345,66,2,413
20219,bright,main,5,0.9717469018911236,334,80,4,418
20219,bright,main,6,0.9497221137830422,305,63,3,371
20219,bright,main,7,0.9586638101115571,312,54,1,367
20219,bright,main,8,0.9750933094766341,345,83,6,434
20219,bright,main,9,0.9770535851890629,327,103,2,432
20134,bright,main,0,0.9602336511224373,358,78,5,441
20134,bright,main,1,0.9539569999448025,320,81,4,405
20134,bright,main,2,0.9761554062353599,373,53,2,428
20134,bright,main,3,0.948327754099279,346,55,5,406
20134,bright,main,4,0.9640798149216533,363,50,1,414
20134,bright,main,5,0.9622876607078957,357,58,4,419
20134,bright,main,6,0.964057196011254,292,73,2,367
20134,bright,main,7,0.9452917890256347,309,59,2,370
20134,bright,main,8,0.9564883946520132,325,86,6,417
