# zcenter, n_in, n_out_all, n_out_good
0.03 5571 5564 5559
0.09 36049 36028 35993
0.15 88773 88606 88490
0.21 148017 147647 147472
0.27 179183 178866 178678
0.33 180031 179740 179541
0.39 136022 135905 135758
0.45 73778 73723 73658
0.51 25554 25532 25507
0.57 5506 5497 5493
