# zcenter, n_in, n_out_all, n_out_good
0.03 52477 49966 48990
0.09 179771 168122 164765
0.15 268237 249193 244311
0.21 274137 255761 250617
0.27 218512 205305 201101
0.33 142522 134855 132100
0.39 66749 63694 62424
0.45 20603 19807 19390
0.51 3561 3441 3377
0.57 350 340 333
