# zcenter, n_in, n_out_all, n_out_good
0.03 5571 5567 5564
0.09 36049 36043 36027
0.15 88773 88674 88618
0.21 148017 147813 147724
0.27 179183 179024 178926
0.33 180031 179878 179778
0.39 136022 135984 135905
0.45 73778 73759 73731
0.51 25554 25540 25524
0.57 5506 5499 5498
