# zcenter, n_in, n_out_all, n_out_good
0.03 5571 5486 5464
0.09 36049 35406 35282
0.15 88773 86760 86427
0.21 148017 144561 143988
0.27 179183 175801 175168
0.33 180031 176439 175813
0.39 136022 133433 132950
0.45 73778 72484 72219
0.51 25554 25196 25117
0.57 5506 5415 5404
