TIME_MINUTES,RAM_GB
1.0, 2.7
2.0, 6.5
3.0, 10.1
4.0, 13.3
5.0, 16.7
6.0, 26.0
7.0, 27.6
8.0, 27.8
9.0, 28.4
10.0, 29.07
11.0, 29.6
12.0, 30.16
13.0, 30.7
14.0, 31.3
15.0, 31.9
16.0, 32.5
17.0, 33.11
18.0, 33.6
19.0, 34.2
