TILEID,PROGRAM,SURVEY,LASTNIGHT,PETALID,H,H_TILE,N_GAL,N_STAR,N_QSO,N_GOOD_Z
20844,bright,main,20210615,1,0.9915800429435535,0.9991221789418175,280,119,2,401
20844,bright,main,20210615,2,0.9940080887394553,0.9991221789418175,283,147,1,431
20844,bright,main,20210615,3,0.99456591803274,0.9991221789418175,281,119,2,402
20844,bright,main,20210615,4,0.9908927512682278,0.9991221789418175,277,132,1,410
20844,bright,main,20210615,5,0.996729912612411,0.9991221789418175,310,109,5,424
20844,bright,main,20210615,6,0.9908646873221861,0.9991221789418175,274,94,3,371
20844,bright,main,20210615,7,0.9839535713679937,0.9991221789418175,254,96,1,351
20844,bright,main,20210615,8,0.9922011192189008,0.9991221789418175,317,112,1,430
20844,bright,main,20210615,9,0.9922011192189008,0.9991221789418175,317,112,1,430
1869,dark,main,20210708,0,0.9899078786304412,0.9991417337862302,258,24,101,383
1869,dark,main,20210708,1,0.9801449457002684,0.9991417337862302,214,34,87,335
1869,dark,main,20210708,2,0.994804894563681,0.9991417337862302,231,38,87,356
1869,dark,main,20210708,3,0.9861192551627347,0.9991417337862302,236,26,90,352
1869,dark,main,20210708,4,0.9926220393768886,0.9991417337862302,251,12,85,348
1869,dark,main,20210708,5,0.9925584967410567,0.9991417337862302,252,20,85,357
1869,dark,main,20210708,6,0.9923688190987036,0.9991417337862302,245,19,61,325
1869,dark,main,20210708,7,0.9894612139694124,0.9991417337862302,226,26,72,324
1869,dark,main,20210708,8,0.9900834742907438,0.9991417337862302,274,24,86,384
1869,dark,main,20210708,9,0.9937273852197026,0.9991417337862302,287,20,76,383
82237,dark,special,20210917,0,0.9946108670117416,0.9988088166325383,293,22,80,395
82237,dark,special,20210917,1,0.9846607548007126,0.9988088166325383,108,10,52,170
82237,dark,special,20210917,2,0.9933349059413087,0.9988088166325383,272,20,88,380
82237,dark,special,20210917,3,0.9853819243401044,0.9988088166325383,242,25,77,344
82237,dark,special,20210917,4,0.9853819243401044,0.9988088166325383,242,25,77,344
82237,dark,special,20210917,5,0.9879918635028608,0.9988088166325383,253,19,95,367
82237,dark,special,20210917,6,0.9888338809086391,0.9988088166325383,217,21,81,319
